,Day,Avg Min Temperature (°C),Avg Max Temperature (°C)
699,1998-04-15,19.28711097871795,18.634250636410258
700,1998-05-15,20.792990155384615,18.634250636410258
701,1998-06-15,22.096312892307694,18.634250636410258
702,1998-07-15,22.517196804102564,18.634250636410258
703,1998-08-15,22.44733516517949,18.634250636410258
704,1998-09-15,21.0371237395641,18.634250636410258
705,1998-10-15,19.105828964717947,18.634250636410258
706,1998-11-15,16.073548503641025,18.634250636410258
707,1998-12-15,14.232178021897436,18.634250636410258
708,1999-01-15,13.891012921523076,18.372853255538462
709,1999-02-15,14.630511602861539,18.372853255538462
710,1999-03-15,16.475922390666668,18.372853255538462
711,1999-04-15,18.735850153384614,18.372853255538462
712,1999-05-15,20.385863523076925,18.372853255538462
713,1999-06-15,21.694617899384614,18.372853255538462
714,1999-07-15,22.276804251897435,18.372853255538462
715,1999-08-15,22.175719063076922,18.372853255538462
716,1999-09-15,21.170695929948717,18.372853255538462
717,1999-10-15,18.84007737820513,18.372853255538462
718,1999-11-15,16.043418392822566,18.372853255538462
719,1999-12-15,14.153745399692308,18.372853255538462
720,2000-01-15,13.297253456974358,18.334082437333333
721,2000-02-15,14.441966446641025,18.334082437333333
722,2000-03-15,16.161840093692305,18.334082437333333
723,2000-04-15,19.11195650405128,18.334082437333333
724,2000-05-15,20.58349751948718,18.334082437333333
725,2000-06-15,21.58587492769231,18.334082437333333
726,2000-07-15,22.041323873846153,18.334082437333333
727,2000-08-15,22.25788376051282,18.334082437333333
728,2000-09-15,20.733473247846153,18.334082437333333
729,2000-10-15,18.815896887333334,18.334082437333333
730,2000-11-15,16.42357190100513,18.334082437333333
731,2000-12-15,14.554450650102563,18.334082437333333
732,2001-01-15,13.712405604635897,18.408241901435897
733,2001-02-15,14.524765143435898,18.408241901435897
734,2001-03-15,16.909273559333336,18.408241901435897
735,2001-04-15,18.634454103076923,18.408241901435897
736,2001-05-15,20.603911726153846,18.408241901435897
737,2001-06-15,21.40514823846154,18.408241901435897
738,2001-07-15,22.350520674871795,18.408241901435897
739,2001-08-15,22.534345626461537,18.408241901435897
740,2001-09-15,20.74137457451282,18.408241901435897
741,2001-10-15,19.46680873476923,18.408241901435897
742,2001-11-15,16.110297457948718,18.408241901435897
743,2001-12-15,13.905597264795693,18.408241901435897
744,2002-01-15,13.79345660877436,18.586008074923075
745,2002-02-15,15.480267762461539,18.586008074923075
746,2002-03-15,17.14301149620513,18.586008074923075
747,2002-04-15,18.587131953948717,18.586008074923075
748,2002-05-15,20.674228693435897,18.586008074923075
749,2002-06-15,21.797654553333334,18.586008074923075
750,2002-07-15,22.637537193589743,18.586008074923075
751,2002-08-15,22.392510088564105,18.586008074923075
752,2002-09-15,20.926784538323076,18.586008074923075
753,2002-10-15,18.911436794564104,18.586008074923075
754,2002-11-15,16.664781595589744,18.586008074923075
755,2002-12-15,14.023295637331795,18.586008074923075
756,2003-01-15,13.80370449348718,18.51935291043077
757,2003-02-15,14.319395609107692,18.51935291043077
758,2003-03-15,16.4788026306,18.51935291043077
759,2003-04-15,18.549864236717948,18.51935291043077
760,2003-05-15,20.97719353948718,18.51935291043077
761,2003-06-15,22.016157839999998,18.51935291043077
762,2003-07-15,22.46454441128205,18.51935291043077
763,2003-08-15,22.600546504102564,18.51935291043077
764,2003-09-15,20.952048484615386,18.51935291043077
765,2003-10-15,18.89960743254359,18.51935291043077
766,2003-11-15,16.770551453246153,18.51935291043077
767,2003-12-15,14.399817356410257,18.51935291043077
768,2004-01-15,13.747007999589744,18.46051228166154
769,2004-02-15,14.891645898307692,18.46051228166154
770,2004-03-15,16.83428960051282,18.46051228166154
771,2004-04-15,18.739901142410258,18.46051228166154
772,2004-05-15,20.096523701025642,18.46051228166154
773,2004-06-15,21.544447881025643,18.46051228166154
774,2004-07-15,22.065019656410257,18.46051228166154
775,2004-08-15,22.351819429384616,18.46051228166154
776,2004-09-15,20.987650191846154,18.46051228166154
777,2004-10-15,19.250690820769233,18.46051228166154
778,2004-11-15,16.53135466194872,18.46051228166154
779,2004-12-15,14.485796624235897,18.46051228166154
780,2005-01-15,13.868579907466668,18.521543446564102
781,2005-02-15,14.242044195784615,18.521543446564102
